canto	lineStart	lineEnd	circle	shortDescript	motion	threshold	object	speech	objectType	objectNumber	distribution	rows	radiusEnd	radiusStart	ychange	HSLlightHigh	HSLlightLow	HSLsat	HSLhue	danteTheta	thetaSpread	thetaStart	thetaGapStart	thetaGapEnd	dotSize	dots		
27	34	57	8.8	Dante's response	0				Dante																			
27	58	129	8.8	Guido's story	0				Soul																			
27	130	136	8.8	"Guido leaves, they depart"	1				Soul																			
28	1	36	8.9	Scismatics	0		1		Souls	m	dark																	
28	37	42	8.9	Devil with a Sword					Demon																			
28	42	63	8.9	Dante noticed	0				Dante																			
28	64	93	8.9	Pier da Medicina					Soul	1																		
28	94	102	8.9	Curio					Soul																			
28	103	117	8.9	Mosca					Soul																			
28	118	142	8.9	Betran de Born					Soul																			
29	1	36	8.9	Dante lingers	0				Dante																			
29	37	51	8.11	Approaching the last ditch	1				Dante																			
29	52	72	8.11	The Counterfeiters	1		1		Souls	m																		
29	73	99	8.11	Griffolino and Capocchio	0		1		Souls	2																		
29	100	123	8.11	Griffolino's story	0				Soul																			
29	124	139	8.11	Capocchio's story	0				Soul																			
30	1	21	8.11	Metaphor of fury	0				Dante																			
30	24	48	8.11	Gianni and Myrrha			1		Souls	2																		
30	49	90	8.11	Master Adam	0		1		Soul	1																		
30	91	99	8.11	Potiphar's wife and Sinon	0		1		Souls	2																		
30	100	129	8.11	Sinon and Master Adam fight	0				Souls																			
30	130	148	8.11	Dante shamed	0				Dante																			
31	1	18	8.11	Leaving Malebolge	1	1			Dante																			
31	19	45	9	Giants	1	1	1		Demons	4		z is high																
31	46	81	9	Nimrod	1	1	1		Demon	1																		
31	82	111	9	Ephialtes		1	1		Demon	1	bigger than Nimrod																	
31	112	129	9	Antaeus	1	1	1		Demon	1	111	114																
31	130	145	9	Antaeus lowers Dante and Virgil	1	1			Demon																			
32	1	15	9	Apostrophe on Treachery	0				Dante																			
32	16	30	9	A Voice from the Ice	0		1		Soul	1	19	21																
32	31	39	9	Traitors of Caina (against kin)	1		1		Souls	m																		
32	40	51	9	Alessandro and Napoleone	0		1		Souls	2																		
32	52	69	9	Camicione de' Parri	0		1		Soul	1																		
32	70	75	9	Traitors of Anternora (against party)	1		1		Souls	m	further in																	
32	76	105	9	Bocca	0		1		Soul	1																		
32	106	108	9	Buoso da Duera names Bocca	0		1		Soul	1																		
32	109	123	9	Bocca names others	0		0		Soul																			
32	124	139	9	Ugolino and Ruggieri	0		1		Souls	2																		
33	1	78	9	Ugolino's speech	0		0		Soul																			
33	79	90	9	Apostrophe on Pisa	0				Dante																			
33	91	99	9	Traitors of Ptolomea (against friends)	1		1		Souls	m																		
33	100	108	9	The Wind	0				Demon																			
33	109	157	9	Fra Albergio	0		1		Soul	1																		
34	1	9	9	Entry in Judecca	1				Dante																			
34	10	15	9	Traitors of Judecca (against lords)	0		1		Souls	m																		
34	16	36	9	Lucifer	0		1		Demon	1																		
34	37	45	9	"Judas, Cassius Brutus"	0		1		Souls	3	"red,yellow,black"																	
34	46	69	9	Lucifer's body	0				Demon																			
34	70	126	9	Exiting the Inferno	1				Dante																			
34	127	139	9	Watercourse to Purgatory	1				Dante																			
